world,humans,sample,coordinator,wall_time,success,all_arrived,robot_collision,robots_arrived,makespan,sum_of_costs,min_robot_robot_dist,min_human_robot_dist,time_near_humans,human_encounters,stuck_time,deadlock_time,replans,solver_calls,episode_time,stat_solver_time,stat_local_repairs,stat_coupled_repairs,stat_global_replans,stat_repair_failures,stat_rejected_repairs,stat_kept_plans,stat_blocked_triggers,stat_risk_triggers,stat_step_duration,stat_solver_failures
depot,0,0,adg_cbs,0.4886653423309326,1.0,1.0,0.0,5.0,92.2,363.6,1.16,nan,0.0,0.0,7.199999999999996,0.0,0.0,1.0,93.4,0.0005683,0,0,0,0,0,0,0,0,2.728769525626188,
depot,0,0,ha_cbs,0.5228991508483887,1.0,1.0,0.0,5.0,92.2,363.6,1.16,nan,0.0,0.0,7.199999999999996,0.0,0.0,1.0,93.4,0.0003366,0,0,0,0,0,0,0,0,2.728769525626188,
depot,0,0,ha_cbs_mod,0.6082251071929932,1.0,1.0,0.0,5.0,92.2,363.6,1.16,nan,0.0,0.0,7.199999999999996,0.0,0.0,1.0,93.4,0.0002884,0,0,0,0,0,0,0,0,2.728769525626188,
depot,0,0,ha_cbs_norepair,0.4380791187286377,1.0,1.0,0.0,5.0,92.2,363.6,1.16,nan,0.0,0.0,7.199999999999996,0.0,0.0,1.0,93.4,0.0005153,0,0,0,0,0,0,0,0,2.728769525626188,
depot,0,0,mapf,3.6367757320404053,1.0,1.0,0.0,5.0,92.8,364.0,1.16,nan,0.0,0.0,7.799999999999994,0.0,171.0,172.0,94.2,0.019862899999999996,,,,,,,,,,0
depot,0,0,pbc,3.836087465286255,1.0,1.0,0.0,5.0,90.8,358.00000000000006,1.0667919197294287,nan,0.0,0.0,7.199999999999992,0.0,0.0,0.0,92.0,,,,,,,,,,,
depot,0,1,adg_cbs,0.4535396099090576,1.0,1.0,0.0,5.0,99.2,375.0,1.16,nan,0.0,0.0,2.6000000000000014,0.0,0.0,1.0,100.4,0.0002776,0,0,0,0,0,0,0,0,3.2317611724923765,
depot,0,1,ha_cbs,0.6561529636383057,1.0,1.0,0.0,5.0,99.2,375.0,1.16,nan,0.0,0.0,2.6000000000000014,0.0,0.0,1.0,100.4,0.0003566,0,0,0,0,0,0,0,0,3.2317611724923765,
depot,0,1,ha_cbs_mod,0.5758781433105469,1.0,1.0,0.0,5.0,99.2,375.0,1.16,nan,0.0,0.0,2.6000000000000014,0.0,0.0,1.0,100.4,0.0003461,0,0,0,0,0,0,0,0,3.2317611724923765,
depot,0,1,ha_cbs_norepair,0.5051445960998535,1.0,1.0,0.0,5.0,99.2,375.0,1.16,nan,0.0,0.0,2.6000000000000014,0.0,0.0,1.0,100.4,0.000504,0,0,0,0,0,0,0,0,3.2317611724923765,
depot,0,1,mapf,3.518378734588623,1.0,1.0,0.0,5.0,93.8,360.4,1.16,nan,0.0,0.0,4.599999999999998,0.0,172.0,173.0,95.0,0.021640599999999992,,,,,,,,,,0
depot,0,1,pbc,4.0281713008880615,1.0,1.0,0.0,5.0,93.8,364.8,1.16,nan,0.0,0.0,2.3999999999999986,0.0,0.0,0.0,95.0,,,,,,,,,,,
