world,humans,coordinator,episodes,success,makespan,sum_of_costs,min_human_robot_dist,time_near_humans,human_encounters,replans,stuck_time,deadlock_time,robot_collision
depot,0,adg_cbs,5,1.0,93.03999999999999,370.36,nan,0.0,0.0,1.0,8.88,0.0,0.0
depot,0,ha_cbs,5,1.0,93.03999999999999,370.36,nan,0.0,0.0,1.0,8.88,0.0,0.0
depot,0,ha_cbs_mod,5,1.0,93.03999999999999,370.36,nan,0.0,0.0,1.0,8.88,0.0,0.0
depot,0,ha_cbs_norepair,5,1.0,93.03999999999999,370.36,nan,0.0,0.0,0.0,8.88,0.0,0.0
depot,0,mapf,5,1.0,92.96000000000001,368.28000000000003,nan,0.0,0.0,170.8,8.36,0.0,0.0
depot,0,pbc,5,1.0,92.4,364.88,nan,0.0,0.0,0.0,7.2799999999999985,0.0,0.0
depot,5,adg_cbs,5,1.0,95.67999999999999,384.96,0.23135702995506197,12.600000000000005,3.8,0.8,9.6,0.0,0.0
depot,5,ha_cbs,5,1.0,99.47999999999999,387.99999999999994,0.2357356474667819,12.919999999999998,3.8,0.6,10.2,0.0,0.0
depot,5,ha_cbs_mod,5,1.0,96.52000000000001,390.16,0.2110751618922307,13.600000000000005,4.2,1.4,10.48,0.0,0.0
depot,5,ha_cbs_norepair,5,1.0,99.28,387.79999999999995,0.2357356474667819,12.919999999999998,3.6,0.0,10.080000000000002,0.0,0.0
depot,5,mapf,5,1.0,92.92,380.64,0.2346848132742212,10.999999999999995,3.4,170.8,8.800000000000002,0.0,0.0
depot,5,pbc,5,1.0,92.67999999999999,379.56,0.18350581349171585,12.440000000000003,3.4,0.0,8.12,0.0,0.0
depot,10,adg_cbs,5,1.0,103.52000000000001,405.6,0.058961849510087094,28.15999999999999,9.6,2.4,12.16,0.0,0.0
depot,10,ha_cbs,5,1.0,104.84,429.28000000000003,0.06543362896903254,23.439999999999994,6.6,2.8,27.0,0.0,0.0
depot,10,ha_cbs_mod,5,1.0,103.08,429.9200000000001,0.09496951687639264,26.639999999999986,9.2,2.8,21.439999999999998,0.0,0.0
depot,10,ha_cbs_norepair,5,1.0,105.67999999999999,430.12,0.06543362896903254,23.519999999999992,6.8,0.0,27.0,0.0,0.0
depot,10,mapf,5,1.0,98.44,402.76,0.05150229514005137,29.520000000000003,10.4,180.4,10.320000000000002,0.0,0.0
depot,10,pbc,5,1.0,94.8,404.28,0.07842711968822143,34.199999999999996,13.2,0.0,10.959999999999999,0.0,0.0
depot,20,adg_cbs,5,1.0,110.67999999999999,441.4,0.03981081762095647,62.8,22.2,4.6,13.439999999999998,0.0,0.0
depot,20,ha_cbs,5,1.0,128.84,487.16,0.05780723017364127,49.51999999999998,13.8,5.4,42.12,0.0,0.0
depot,20,ha_cbs_mod,5,1.0,132.0,500.56000000000006,0.0495171609334923,50.71999999999999,14.8,6.8,34.24,0.0,0.0
depot,20,ha_cbs_norepair,5,1.0,132.84,496.16,0.05320639603071081,52.44,16.2,0.0,50.239999999999995,0.0,0.0
depot,20,mapf,5,1.0,104.03999999999999,442.43999999999994,0.03606120103172813,60.36,21.2,190.6,13.88,0.0,0.0
depot,20,pbc,5,1.0,99.12,429.84000000000003,0.040469061620906355,55.279999999999994,21.0,0.0,11.8,0.0,0.0
