world,humans,sample,coordinator,wall_time,success,all_arrived,robot_collision,robots_arrived,makespan,sum_of_costs,min_robot_robot_dist,min_human_robot_dist,time_near_humans,human_encounters,stuck_time,deadlock_time,replans,solver_calls,episode_time,stat_solver_time,stat_local_repairs,stat_coupled_repairs,stat_global_replans,stat_repair_failures,stat_rejected_repairs,stat_kept_plans,stat_blocked_triggers,stat_risk_triggers,stat_step_duration,stat_solver_failures
depot,10,0,ha_cbs_l0,1.039060354232788,1.0,1.0,0.0,5.0,105.6,401.4,1.16,0.08421401308570972,29.0,9.0,14.199999999999996,0.0,0.0,1.0,106.8,0.0006117,0,0,0,0,0,0,0,0,2.9094954515540916,
depot,10,0,ha_cbs_l1,3.3448424339294434,1.0,1.0,0.0,5.0,114.6,412.79999999999995,1.1600000000000001,0.06894200461257266,30.400000000000002,12.0,21.800000000000008,0.0,2.0,7.0,115.8,0.0026464,2,0,0,0,0,2,2,2,3.1249619507146007,
depot,10,0,ha_cbs_l16,1.9137153625488281,1.0,1.0,0.0,5.0,148.8,517.4000000000001,1.0826707717491966,0.06894200461257266,22.600000000000016,3.0,57.60000000000001,0.0,3.0,4.0,149.8,0.3808693000000001,3,0,0,0,0,0,3,0,2.6534548017260633,
depot,10,0,ha_cbs_l2,2.1175239086151123,1.0,1.0,0.0,5.0,114.6,412.79999999999995,1.1600000000000001,0.06894200461257266,30.400000000000002,12.0,21.800000000000008,0.0,2.0,7.0,115.8,0.006577800000000001,2,0,0,0,0,2,2,2,3.1249619507146007,
depot,10,0,ha_cbs_l4,1.6601197719573975,1.0,1.0,0.0,5.0,99.8,415.59999999999997,1.1600000000000001,0.06894200461257266,15.000000000000004,5.0,10.999999999999996,0.0,1.0,2.0,100.8,0.0408998,1,0,0,0,0,0,1,0,2.6536501847953233,
depot,10,0,ha_cbs_l8,1.6422793865203857,1.0,1.0,0.0,5.0,118.4,440.6,1.0812238436142623,0.06894200461257266,16.600000000000005,4.0,34.2,0.0,1.0,2.0,119.4,0.049312,1,0,0,0,0,0,1,0,2.4918881372013715,
depot,10,0,mapf,4.767171144485474,1.0,1.0,0.0,5.0,101.8,401.2,1.16,0.01063014581273444,32.00000000000002,11.0,9.799999999999997,0.0,186.0,187.0,102.8,0.027226399999999998,,,,,,,,,,0
depot,10,1,ha_cbs_l0,1.013873815536499,1.0,1.0,0.0,5.0,96.6,401.0,1.16,0.07582216034906937,22.199999999999992,9.0,5.200000000000003,0.0,1.0,2.0,97.8,0.0005655,1,0,0,0,0,0,1,0,3.073578765140002,
depot,10,1,ha_cbs_l1,2.9625916481018066,1.0,1.0,0.0,5.0,102.8,407.4,1.1600000000000001,0.013928388277184171,25.199999999999992,9.0,5.200000000000003,0.0,1.0,2.0,104.0,0.0014444,1,0,0,0,0,0,1,0,3.1985149182755985,
depot,10,1,ha_cbs_l16,1.647376537322998,1.0,1.0,0.0,5.0,133.8,519.2,1.1200017857128621,0.24001041644062002,14.199999999999978,2.0,45.199999999999996,0.0,2.0,3.0,135.0,0.2526217,2,0,0,0,0,0,2,0,2.939066266377704,
depot,10,1,ha_cbs_l2,1.668506383895874,1.0,1.0,0.0,5.0,102.8,407.4,1.1600000000000001,0.013928388277184171,25.199999999999992,9.0,5.200000000000003,0.0,1.0,2.0,104.0,0.0022557999999999996,1,0,0,0,0,0,1,0,3.1985149182755985,
depot,10,1,ha_cbs_l4,1.6941299438476562,1.0,1.0,0.0,5.0,102.4,414.6,1.0605493859316502,0.029832867780352438,16.199999999999978,6.0,27.599999999999994,0.0,2.0,3.0,103.6,0.043865,2,0,0,0,0,0,2,0,2.881502162341391,
depot,10,1,ha_cbs_l8,2.32791805267334,1.0,1.0,0.0,5.0,148.4,519.2,1.070491942986961,0.3242344830520032,14.199999999999978,1.0,58.99999999999999,0.0,5.0,6.0,149.6,0.0469196,5,0,0,0,0,0,5,0,2.7900946978343324,
depot,10,1,mapf,4.443140506744385,1.0,1.0,0.0,5.0,94.6,386.6,1.16,0.08500000000000002,30.0,10.0,7.200000000000003,0.0,174.0,175.0,96.0,0.02480540000000001,,,,,,,,,,0
depot,10,2,ha_cbs_l0,1.41685152053833,1.0,1.0,0.0,5.0,110.0,411.6,1.16,0.025999999999999912,30.199999999999996,11.0,13.2,0.0,5.0,6.0,111.2,0.0008179999999999999,5,0,0,0,0,0,5,0,2.635611447344538,
depot,10,2,ha_cbs_l1,2.7737183570861816,1.0,1.0,0.0,5.0,107.2,412.8,1.1600000000000001,0.06174139616173258,28.799999999999997,9.0,11.2,0.0,3.0,4.0,108.4,0.001214,3,0,0,0,0,0,3,0,2.5232902538560773,
depot,10,2,ha_cbs_l16,3.8717212677001953,1.0,1.0,0.0,5.0,143.8,491.20000000000005,1.1139999999999999,0.34667708317683793,14.199999999999996,4.0,53.400000000000006,0.0,6.0,9.0,147.4,2.0207979,5,1,0,0,1,0,6,0,2.68006990708283,
depot,10,2,ha_cbs_l2,1.7914063930511475,1.0,1.0,0.0,5.0,107.2,412.8,1.1600000000000001,0.06174139616173258,28.799999999999997,9.0,11.2,0.0,3.0,4.0,108.4,0.0033372999999999996,3,0,0,0,0,0,3,0,2.5232902538560773,
depot,10,2,ha_cbs_l4,1.9652471542358398,1.0,1.0,0.0,5.0,109.4,449.00000000000006,1.0536531687419728,0.06174139616173258,25.39999999999999,7.0,25.0,0.0,3.0,4.0,110.6,0.14091030000000002,3,0,0,0,0,0,3,0,2.861375637303556,
depot,10,2,ha_cbs_l8,3.3537566661834717,1.0,1.0,0.0,5.0,121.8,481.0,1.0455008369197984,0.13426093996393737,15.199999999999978,5.0,40.80000000000001,0.0,6.0,8.0,123.0,1.1474187999999998,5,1,0,0,1,0,6,0,2.6445343768802854,
depot,10,2,mapf,4.913475275039673,1.0,1.0,0.0,5.0,101.6,424.40000000000003,1.16,0.049658836071740445,35.2,11.0,11.600000000000009,0.0,186.0,187.0,102.8,0.023908200000000008,,,,,,,,,,0
depot,10,3,ha_cbs_l0,1.113215446472168,1.0,1.0,0.0,5.0,104.0,406.80000000000007,1.16,0.06000833275471005,29.599999999999994,10.0,20.80000000000001,0.0,2.0,3.0,105.2,0.0005671,2,0,0,0,0,0,2,0,2.7606138746387408,
depot,10,3,ha_cbs_l1,2.900310516357422,1.0,1.0,0.0,5.0,113.8,413.0,1.1600000000000001,0.08381527307120122,26.80000000000001,7.0,21.0,0.0,3.0,4.0,115.0,0.0015015999999999999,3,0,0,0,0,0,3,0,3.053016554215529,
depot,10,3,ha_cbs_l16,1.9660770893096924,1.0,1.0,0.0,5.0,157.4,546.6,1.1104638670393558,0.0816149496109632,46.20000000000002,15.0,55.199999999999996,0.0,5.0,6.0,158.6,0.2054191,5,0,0,0,0,0,5,0,2.6538324117912926,
depot,10,3,ha_cbs_l2,1.9935297966003418,1.0,1.0,0.0,5.0,113.8,413.0,1.1600000000000001,0.08381527307120122,26.80000000000001,7.0,21.0,0.0,3.0,4.0,115.0,0.0054859,3,0,0,0,0,0,3,0,3.053016554215529,
depot,10,3,ha_cbs_l4,2.073063611984253,1.0,1.0,0.0,5.0,108.0,438.79999999999995,1.0616449500656988,0.10113851887386832,27.799999999999997,5.0,43.60000000000001,0.0,5.0,6.0,109.0,0.0850151,5,0,0,0,0,0,5,0,2.6231135589185466,
depot,10,3,ha_cbs_l8,1.8346848487854004,1.0,1.0,0.0,5.0,129.0,493.80000000000007,1.0673448364984952,0.08381527307120122,33.000000000000014,11.0,52.800000000000004,0.0,3.0,4.0,130.2,0.0396996,3,0,0,0,0,0,3,0,2.5661455641760016,
depot,10,3,mapf,4.956577301025391,1.0,1.0,0.0,5.0,101.4,396.8,1.16,0.09019977827023733,17.400000000000006,5.0,15.200000000000003,0.0,186.0,187.0,102.6,0.022599799999999986,,,,,,,,,,0
depot,10,4,ha_cbs_l0,1.248833417892456,1.0,1.0,0.0,5.0,101.4,407.20000000000005,1.16,0.04876474136094643,29.799999999999976,9.0,7.399999999999995,0.0,4.0,5.0,102.6,0.0007218,4,0,0,0,0,0,4,0,2.8362951185449683,
depot,10,4,ha_cbs_l1,2.532559871673584,1.0,1.0,0.0,5.0,104.6,406.79999999999995,1.1600000000000001,0.12149074038789945,37.599999999999994,12.0,12.599999999999998,0.0,4.0,7.0,108.8,0.0022065999999999995,4,0,0,0,0,1,4,1,2.8756429646353125,
depot,10,4,ha_cbs_l16,1.976703405380249,1.0,1.0,0.0,5.0,150.0,559.0,0.8666302556453934,0.15947727110782908,36.99999999999994,6.0,65.39999999999998,0.0,5.0,6.0,151.2,0.29014370000000006,5,0,0,0,0,0,5,0,3.1069496432268173,
depot,10,4,ha_cbs_l2,2.041776180267334,1.0,1.0,0.0,5.0,104.6,406.79999999999995,1.1600000000000001,0.12149074038789945,37.599999999999994,12.0,12.599999999999998,0.0,4.0,7.0,108.8,0.0118166,4,0,0,0,0,1,4,1,2.8756429646353125,
depot,10,4,ha_cbs_l4,2.0631000995635986,1.0,1.0,0.0,5.0,104.6,428.4,1.1600000000000001,0.06551335741663672,32.8,10.0,27.8,0.0,3.0,6.0,108.8,0.0825947,3,0,0,0,0,1,3,1,2.9287207724286737,
depot,10,4,ha_cbs_l8,1.8990261554718018,1.0,1.0,0.0,5.0,128.6,488.4,1.0592610631945272,0.12576565508913756,25.39999999999999,6.0,50.2,0.0,4.0,5.0,129.8,0.0390018,4,0,0,0,0,0,4,0,2.8676829993698343,
