world,humans,coordinator,episodes,success,makespan,sum_of_costs,min_human_robot_dist,time_near_humans,human_encounters,replans,stuck_time,deadlock_time,robot_collision
depot,10,ha_cbs_l0,5,1.0,103.52000000000001,405.6,0.058961849510087094,28.15999999999999,9.6,2.4,12.16,0.0,0.0
depot,10,ha_cbs_l1,5,1.0,108.6,410.56000000000006,0.06998356050211803,29.76,9.8,2.6,14.360000000000003,0.0,0.0
depot,10,ha_cbs_l16,5,1.0,146.76000000000002,526.6800000000001,0.17934434498976456,26.839999999999993,6.0,4.2,55.35999999999999,0.0,0.0
depot,10,ha_cbs_l2,5,1.0,108.6,410.56000000000006,0.06998356050211803,29.76,9.8,2.6,14.360000000000003,0.0,0.0
depot,10,ha_cbs_l4,5,1.0,104.84,429.28000000000003,0.06543362896903254,23.439999999999994,6.6,2.8,27.0,0.0,0.0
depot,10,ha_cbs_l8,5,1.0,129.24,484.6000000000001,0.14740367115777037,20.879999999999992,5.4,3.8,47.4,0.0,0.0
depot,10,mapf,5,1.0,98.44,402.76,0.05150229514005137,29.520000000000003,10.4,180.4,10.320000000000002,0.0,0.0
depot,20,ha_cbs_l0,5,1.0,110.67999999999999,441.4,0.03981081762095647,62.8,22.2,4.6,13.439999999999998,0.0,0.0
depot,20,ha_cbs_l1,5,1.0,113.24000000000001,439.8,0.05715640457283511,61.84000000000001,22.2,3.6,14.719999999999999,0.0,0.0
depot,20,ha_cbs_l16,5,1.0,158.92,569.76,0.0490570011275325,58.0,16.6,5.6,57.4,0.0,0.0
depot,20,ha_cbs_l2,5,1.0,109.52000000000001,449.8,0.0408470566095034,54.0,19.2,3.6,22.880000000000003,0.0,0.0
depot,20,ha_cbs_l4,5,1.0,128.84,487.16,0.05780723017364127,49.51999999999998,13.8,5.4,42.12,0.0,0.0
depot,20,ha_cbs_l8,5,1.0,158.32,582.64,0.05177501021858925,58.0,18.0,5.2,64.96000000000001,0.0,0.0
depot,20,mapf,5,1.0,104.03999999999999,442.43999999999994,0.03606120103172813,60.36,21.2,190.6,13.88,0.0,0.0
narrow_corridors,10,ha_cbs_l0,5,1.0,104.88,404.87999999999994,0.03928146626717517,82.12,53.6,10.4,36.16000000000001,0.0,0.0
narrow_corridors,10,ha_cbs_l1,5,1.0,102.52000000000001,407.43999999999994,0.039140214951277855,78.23999999999998,51.2,10.0,36.440000000000005,0.0,0.0
narrow_corridors,10,ha_cbs_l16,5,1.0,101.96,420.91999999999996,0.026528069274827586,81.43999999999998,55.2,12.0,31.400000000000013,0.0,0.0
narrow_corridors,10,ha_cbs_l2,5,1.0,102.6,407.6,0.039140214951277855,78.03999999999999,51.2,10.2,35.84,0.0,0.0
narrow_corridors,10,ha_cbs_l4,5,1.0,103.03999999999999,426.32,0.029956437494912707,78.96000000000001,53.6,10.2,31.640000000000004,0.0,0.0
narrow_corridors,10,ha_cbs_l8,5,1.0,100.0,418.76000000000005,0.04296501546580313,80.0,50.2,11.8,33.44000000000001,0.0,0.0
narrow_corridors,10,mapf,5,1.0,99.6,407.32,0.018905809623450905,78.79999999999998,59.4,182.8,25.519999999999996,0.0,0.0
narrow_corridors,20,ha_cbs_l0,5,1.0,115.63999999999999,507.16,0.01642948941723995,108.8,118.8,20.6,58.76000000000001,0.0,0.0
narrow_corridors,20,ha_cbs_l1,5,1.0,119.72,510.5200000000001,0.017071689996888975,108.92,116.8,13.4,58.84000000000001,0.0,0.0
narrow_corridors,20,ha_cbs_l16,5,0.6,207.80000000000004,697.0666666666666,0.024293330889195268,255.76,220.0,41.6,113.04,1.0,0.0
narrow_corridors,20,ha_cbs_l2,5,1.0,120.12,519.4,0.008309333755001586,107.6,121.0,14.8,59.20000000000001,0.0,0.0
narrow_corridors,20,ha_cbs_l4,5,1.0,123.32000000000001,517.88,0.018158899581091428,111.43999999999998,121.2,14.8,50.36000000000001,0.0,0.0
narrow_corridors,20,ha_cbs_l8,5,1.0,229.64000000000001,747.4800000000001,0.021298162179350818,208.28000000000006,191.2,35.0,109.11999999999998,0.0,0.0
narrow_corridors,20,mapf,5,1.0,112.92,493.36,0.02085954289221317,106.55999999999999,121.6,207.2,46.080000000000005,0.0,0.0
